Thu Jul 11 10:53:18 2013,,,,,
,,,,,
pointer cache: no,,,,,
random replacement sheme for pointer cache,,,,,
method:none,,,,,
pcm size(line):16777216,,,,,
addresses have been narrowed.,,,,,
include extra wear-leveling write,,,,,
cell lifetime: 100000000,,,,,
max depth: 0,,,,,
access count: 217095578,,,,,
total write count: 217095577,,,,,
total write count(without remapping): 217095577,,,,,
percent(without/with remapping): 1.0000,,,,,
wear-out count: 1,,,,,
exceeded write count: 0,,,,,
average access delay: 50 ns,,,,,
normal space : backup space = 16777216 : 0,,,,,
backup space percent:0.00,,,,,
wear-out percent: 0.0000,,,,,
,,,,,
count interval: 1,,,,,
footprint,,,,,
118706,684,684,,r1.avr=,159850.5758
118707,228,912,,r1.var=,1.64739E+12
118712,912,1824,,r1.sdev=,1283507.343
118713,608,2432,,r1.cov=,8.029419582
118714,304,2736,,r1.stdevp=,1278636.33
118715,912,3648,,,
118719,456,4104,,,
118720,608,4712,,,
118729,22438,27150,,,
118730,1064,28214,,,
118731,608,28822,,,
118732,380,29202,,,
118733,76,29278,,,
118734,152,29430,,,
118735,532,29962,,,
118736,2429,32391,,,
118738,1899,34290,,,
118739,152,34442,,,
118741,1064,35506,,,
118742,2128,37634,,,
118743,912,38546,,,
118744,6992,45538,,,
118745,1900,47438,,,
118746,684,48122,,,
118747,380,48502,,,
118748,228,48730,,,
118750,456,49186,,,
118751,1897,51083,,,
118752,836,51919,,,
118753,1139,53058,,,
118754,380,53438,,,
118755,608,54046,,,
118756,836,54882,,,
118757,1140,56022,,,
118758,228,56250,,,
118759,152,56402,,,
118760,152,56554,,,
118762,684,57238,,,
118763,1062,58300,,,
118764,228,58528,,,
118765,75,58603,,,
118766,1824,60427,,,
118767,2052,62479,,,
118768,1216,63695,,,
118769,1064,64759,,,
118783,380,65139,,,
145727,912,66051,,,
145728,1292,67343,,,
145729,1520,68863,,,
145730,1444,70307,,,
145731,1367,71674,,,
145732,608,72282,,,
145733,1291,73573,,,
145734,1216,74789,,,
145735,1216,76005,,,
145736,1216,77221,,,
145737,1216,78437,,,
145738,1216,79653,,,
145739,1216,80869,,,
145740,1216,82085,,,
145741,1216,83301,,,
145742,1216,84517,,,
145743,1216,85733,,,
145744,1216,86949,,,
145745,1216,88165,,,
145746,1216,89381,,,
145747,1216,90597,,,
145748,1216,91813,,,
145749,1216,93029,,,
145750,1216,94245,,,
145751,1216,95461,,,
145752,1216,96677,,,
145753,1216,97893,,,
145754,1216,99109,,,
145755,1216,100325,,,
145756,1216,101541,,,
145757,1216,102757,,,
145758,1216,103973,,,
145759,1216,105189,,,
145760,1216,106405,,,
145761,1216,107621,,,
145762,1216,108837,,,
145763,1216,110053,,,
145764,1216,111269,,,
145765,1216,112485,,,
145766,1216,113701,,,
145767,1216,114917,,,
145768,1216,116133,,,
145769,1216,117349,,,
145770,1216,118565,,,
145771,1216,119781,,,
145772,1216,120997,,,
145773,1216,122213,,,
145774,1216,123429,,,
145775,1216,124645,,,
145776,1216,125861,,,
145777,1216,127077,,,
145778,1216,128293,,,
145779,1216,129509,,,
145780,1216,130725,,,
145781,1216,131941,,,
145782,1216,133157,,,
145783,1216,134373,,,
145784,1216,135589,,,
145785,1216,136805,,,
145786,1216,138021,,,
145787,1216,139237,,,
145788,1216,140453,,,
145789,1216,141669,,,
145790,1216,142885,,,
145791,1216,144101,,,
145861,152,144253,,,
145862,456,144709,,,
2102273,76,144785,,,
2102275,304,145089,,,
2102276,1823,146912,,,
2102277,909,147821,,,
2102278,10468496,10616317,,,
2102279,227,10616544,,,
2102282,10468571,21085115,,,
2102347,4952,21090067,,,
2102348,1425,21091492,,,
2119667,756,21092248,,,
2119668,683,21092931,,,
2119669,303,21093234,,,
2149120,2204,21095438,,,
2149121,1976,21097414,,,
2149122,987,21098401,,,
2149126,150,21098551,,,
2149127,1050,21099601,,,
2149128,225,21099826,,,
2149129,450,21100276,,,
13721408,75,21100351,,,
13726592,75,21100426,,,
13736896,75,21100501,,,
13791424,75,21100576,,,
13939968,75,21100651,,,
14208896,1212,21101863,,,
14208897,606,21102469,,,
14208898,2122,21104591,,,
14208899,833,21105424,,,
14208900,757,21106181,,,
14208901,1365,21107546,,,
14208902,1061,21108607,,,
14208903,1438,21110045,,,
14208904,758,21110803,,,
14208905,1060,21111863,,,
14208906,909,21112772,,,
14208907,757,21113529,,,
14208908,1287,21114816,,,
14208909,833,21115649,,,
14208910,984,21116633,,,
14208911,909,21117542,,,
14208912,681,21118223,,,
14208913,1363,21119586,,,
14208914,606,21120192,,,
14208915,1211,21121403,,,
14208916,909,21122312,,,
14208917,681,21122993,,,
14208918,1136,21124129,,,
14208919,833,21124962,,,
14208920,2123,21127085,,,
14208921,833,21127918,,,
14208922,757,21128675,,,
14208923,1136,21129811,,,
14208924,606,21130417,,,
14208925,1666,21132083,,,
14208926,833,21132916,,,
14208927,757,21133673,,,
14208928,909,21134582,,,
14208929,833,21135415,,,
14208930,1666,21137081,,,
14208931,606,21137687,,,
14208932,1440,21139127,,,
14208933,1365,21140492,,,
14208934,1213,21141705,,,
14208935,1287,21142992,,,
14208936,1289,21144281,,,
14208937,1212,21145493,,,
14208938,909,21146402,,,
14208939,1365,21147767,,,
14208940,1515,21149282,,,
14208941,682,21149964,,,
14208942,1439,21151403,,,
14208943,909,21152312,,,
14208944,909,21153221,,,
14208945,1896,21155117,,,
14208946,1061,21156178,,,
14208947,1363,21157541,,,
14208948,1517,21159058,,,
14208949,757,21159815,,,
14208950,1136,21160951,,,
14208951,606,21161557,,,
14208952,1438,21162995,,,
14208953,833,21163828,,,
14208954,757,21164585,,,
14208955,1137,21165722,,,
14208956,833,21166555,,,
14208957,1894,21168449,,,
14208958,758,21169207,,,
14208959,1060,21170267,,,
14208960,1137,21171404,,,
14208961,757,21172161,,,
14208962,1287,21173448,,,
14208963,833,21174281,,,
14208964,984,21175265,,,
14208965,1365,21176630,,,
14208966,909,21177539,,,
14208967,1515,21179054,,,
14208968,834,21179888,,,
14208969,1743,21181631,,,
14208970,909,21182540,,,
14208971,681,21183221,,,
14208972,1820,21185041,,,
14208973,1289,21186330,,,
14208974,1211,21187541,,,
14208975,833,21188374,,,
14208976,757,21189131,,,
14208977,1288,21190419,,,
14208978,910,21191329,,,
14208979,1438,21192767,,,
14208980,1061,21193828,,,
14208981,757,21194585,,,
14208982,1821,21196406,,,
14208983,1289,21197695,,,
14208984,1666,21199361,,,
14208985,1062,21200423,,,
14208986,2352,21202775,,,
14208987,909,21203684,,,
14208988,1213,21204897,,,
14208989,1439,21206336,,,
14208990,1061,21207397,,,
14208991,1288,21208685,,,
14208992,909,21209594,,,
14208993,909,21210503,,,
14208994,1363,21211866,,,
14208995,758,21212624,,,
14208996,1743,21214367,,,
14208997,1137,21215504,,,
14208998,681,21216185,,,
14208999,1364,21217549,,,
14209000,909,21218458,,,
14209001,2047,21220505,,,
14209002,1289,21221794,,,
14209003,757,21222551,,,
14209004,1592,21224143,,,
14209005,606,21224749,,,
14209006,1894,21226643,,,
14209007,1061,21227704,,,
14209008,985,21228689,,,
14209009,909,21229598,,,
14209010,833,21230431,,,
14209011,1438,21231869,,,
14209012,606,21232475,,,
14209013,984,21233459,,,
14209014,909,21234368,,,
14209015,757,21235125,,,
14209016,1971,21237096,,,
14209017,1213,21238309,,,
14209018,1060,21239369,,,
14209019,1365,21240734,,,
14209020,1365,21242099,,,
14209021,1363,21243462,,,
14209022,606,21244068,,,
14209023,1439,21245507,,,
14209024,1365,21246872,,,
14209025,1137,21248009,,,
14209026,2276,21250285,,,
14209027,1745,21252030,,,
14209028,1211,21253241,,,
14209029,1061,21254302,,,
14209030,757,21255059,,,
14209031,1212,21256271,,,
14209032,758,21257029,,,
14209033,1666,21258695,,,
14209034,1061,21259756,,,
14209035,1213,21260969,,,
14209036,2049,21263018,,,
14209037,1061,21264079,,,
14209038,1438,21265517,,,
14209039,758,21266275,,,
14209040,1060,21267335,,,
14209041,1137,21268472,,,
14209042,1441,21269913,,,
14209043,1743,21271656,,,
14209044,985,21272641,,,
14209045,1060,21273701,,,
14209046,909,21274610,,,
14209047,2049,21276659,,,
14209048,1743,21278402,,,
14209049,682,21279084,,,
14209050,2351,21281435,,,
14209051,2049,21283484,,,
14209052,681,21284165,,,
14209053,1820,21285985,,,
14209054,833,21286818,,,
14209055,1667,21288485,,,
14209056,833,21289318,,,
14209057,757,21290075,,,
14209058,1136,21291211,,,
14209059,606,21291817,,,
14209060,1438,21293255,,,
14209061,833,21294088,,,
14209062,985,21295073,,,
14209063,909,21295982,,,
14209064,833,21296815,,,
14209065,1894,21298709,,,
14209066,606,21299315,,,
14209067,984,21300299,,,
14209068,1137,21301436,,,
14209069,1213,21302649,,,
14209070,1287,21303936,,,
14209071,1137,21305073,,,
14209072,1136,21306209,,,
14209073,1137,21307346,,,
14209074,681,21308027,,,
14209075,2123,21310150,,,
14209076,758,21310908,,,
14209077,1211,21312119,,,
14209078,1137,21313256,,,
14209079,909,21314165,,,
14209080,1288,21315453,,,
14209081,1213,21316666,,,
14209082,2047,21318713,,,
14209083,833,21319546,,,
14209084,757,21320303,,,
14209085,1972,21322275,,,
14209086,910,21323185,,,
14209087,1438,21324623,,,
14209088,833,21325456,,,
14209089,757,21326213,,,
14209090,909,21327122,,,
14209091,1061,21328183,,,
14209092,1894,21330077,,,
14209093,1062,21331139,,,
14209094,1440,21332579,,,
14209095,1137,21333716,,,
14209096,985,21334701,,,
14209097,1283,21335984,,,
14209098,825,21336809,,,
14209099,1200,21338009,,,
14209100,1350,21339359,,,
14209101,900,21340259,,,
14209102,2025,21342284,,,
14209103,600,21342884,,,
14209104,1425,21344309,,,
14209105,900,21345209,,,
14209106,900,21346109,,,
14209107,1350,21347459,,,
14209108,825,21348284,,,
14209109,1875,21350159,,,
14209110,825,21350984,,,
14209111,975,21351959,,,
14209112,1275,21353234,,,
14209113,900,21354134,,,
14209114,1875,21356009,,,
14209115,1500,21357509,,,
14209116,1200,21358709,,,
14209117,1125,21359834,,,
14209118,825,21360659,,,
14209119,1650,21362309,,,
14209120,750,21363059,,,
14209121,1950,21365009,,,
14209122,1125,21366134,,,
14209123,1200,21367334,,,
14209124,1650,21368984,,,
14209125,1050,21370034,,,
14209126,1050,21371084,,,
14209127,900,21371984,,,
14209128,675,21372659,,,
14209129,1350,21374009,,,
14209130,750,21374759,,,
14209131,1725,21376484,,,
14209132,1125,21377609,,,
14209133,675,21378284,,,
14209134,1125,21379409,,,
14209135,900,21380309,,,
14209136,1350,21381659,,,
14209137,825,21382484,,,
14209138,750,21383234,,,
14209139,1500,21384734,,,
14209140,1350,21386084,,,
14209141,1650,21387734,,,
14209142,825,21388559,,,
14209143,975,21389534,,,
14209144,900,21390434,,,
14209145,1275,21391709,,,
14209146,1650,21393359,,,
14209147,750,21394109,,,
14209148,1275,21395384,,,
14209149,900,21396284,,,
14209150,750,21397034,,,
14209151,1575,21398609,,,
14209152,975,21399584,,,
14209153,1200,21400784,,,
14209154,900,21401684,,,
14209155,1125,21402809,,,
14209156,2100,21404909,,,
14209157,750,21405659,,,
14209158,1425,21407084,,,
14209159,1125,21408209,,,
14209160,675,21408884,,,
14209161,1125,21410009,,,
14209162,900,21410909,,,
14209163,1575,21412484,,,
14209164,1050,21413534,,,
14209165,975,21414509,,,
14209166,1800,21416309,,,
14209167,600,21416909,,,
14209168,1650,21418559,,,
14209169,825,21419384,,,
14209170,1200,21420584,,,
14209171,900,21421484,,,
14209172,1725,21423209,,,
14209173,1425,21424634,,,
14209174,600,21425234,,,
14209175,975,21426209,,,
14209176,1125,21427334,,,
14209177,750,21428084,,,
14209178,1500,21429584,,,
14209179,975,21430559,,,
14209180,1500,21432059,,,
14209181,1125,21433184,,,
14209182,675,21433859,,,
14209183,1650,21435509,,,
14209184,750,21436259,,,
14209185,1200,21437459,,,
14209186,900,21438359,,,
14209187,1800,21440159,,,
14209188,1200,21441359,,,
14209189,1050,21442409,,,
14209190,1350,21443759,,,
14209191,825,21444584,,,
14209192,975,21445559,,,
14209193,1350,21446909,,,
14209194,600,21447509,,,
14209195,1425,21448934,,,
14209196,1500,21450434,,,
14209197,750,21451184,,,
14209198,900,21452084,,,
14209199,825,21452909,,,
14209200,1650,21454559,,,
14209201,900,21455459,,,
14209202,1350,21456809,,,
14209203,900,21457709,,,
14209204,975,21458684,,,
14209205,1275,21459959,,,
14209206,825,21460784,,,
14209207,975,21461759,,,
14209208,900,21462659,,,
14209209,1350,21464009,,,
14209210,1500,21465509,,,
14209211,675,21466184,,,
14209212,1200,21467384,,,
14209213,1125,21468509,,,
14209214,900,21469409,,,
14209215,2475,21471884,,,
14209216,825,21472709,,,
14209217,1425,21474134,,,
14209218,825,21474959,,,
14209219,1200,21476159,,,
14209220,1350,21477509,,,
14209221,600,21478109,,,
14209222,2325,21480434,,,
14209223,1050,21481484,,,
14209224,750,21482234,,,
14209225,1575,21483809,,,
14209226,825,21484634,,,
14209227,1425,21486059,,,
14209228,750,21486809,,,
14209229,1050,21487859,,,
14209230,900,21488759,,,
14209231,975,21489734,,,
14209232,1425,21491159,,,
14209233,900,21492059,,,
14209234,975,21493034,,,
14209235,900,21493934,,,
14209236,675,21494609,,,
14209237,1725,21496334,,,
14209238,675,21497009,,,
14209239,1200,21498209,,,
14209240,900,21499109,,,
14209241,675,21499784,,,
14209242,1125,21500909,,,
14209243,900,21501809,,,
14209244,2025,21503834,,,
14209245,1050,21504884,,,
14209246,975,21505859,,,
14209247,1875,21507734,,,
14209248,1200,21508934,,,
14209249,1650,21510584,,,
14209250,1275,21511859,,,
14209251,975,21512834,,,
14209252,900,21513734,,,
14209253,1275,21515009,,,
14209254,1425,21516434,,,
14209255,750,21517184,,,
14209256,1050,21518234,,,
14209257,900,21519134,,,
14209258,750,21519884,,,
14209259,1425,21521309,,,
14209260,900,21522209,,,
14209261,975,21523184,,,
14209262,900,21524084,,,
14209263,1575,21525659,,,
14209264,1800,21527459,,,
14209265,825,21528284,,,
14209266,1425,21529709,,,
14209267,1125,21530834,,,
14209268,675,21531509,,,
14209269,1800,21533309,,,
14209270,825,21534134,,,
14209271,1425,21535559,,,
14209272,825,21536384,,,
14209273,975,21537359,,,
14209274,1350,21538709,,,
14209275,600,21539309,,,
14209276,1425,21540734,,,
14209277,825,21541559,,,
14209278,750,21542309,,,
14209279,900,21543209,,,
14209280,1275,21544484,,,
14209281,2100,21546584,,,
14209282,600,21547184,,,
14209283,975,21548159,,,
14209284,900,21549059,,,
14209285,975,21550034,,,
14209286,1275,21551309,,,
14209287,825,21552134,,,
14209288,975,21553109,,,
14209289,900,21554009,,,
14209290,675,21554684,,,
14209291,1950,21556634,,,
14209292,900,21557534,,,
14209293,1425,21558959,,,
14209294,1125,21560084,,,
14209295,900,21560984,,,
14209296,1500,21562484,,,
14209297,1125,21563609,,,
14209298,2100,21565709,,,
14209299,825,21566534,,,
14209300,750,21567284,,,
14209301,1200,21568484,,,
14209302,750,21569234,,,
14209303,1650,21570884,,,
14209304,825,21571709,,,
14209305,1200,21572909,,,
14209306,1125,21574034,,,
14209307,825,21574859,,,
14209308,1425,21576284,,,
14209309,600,21576884,,,
14209310,975,21577859,,,
14209311,1350,21579209,,,
14209312,1200,21580409,,,
14209313,1500,21581909,,,
14209314,1425,21583334,,,
14209315,1500,21584834,,,
14209316,900,21585734,,,
14209317,900,21586634,,,
14209318,1575,21588209,,,
14209319,600,21588809,,,
14209320,1425,21590234,,,
14209321,900,21591134,,,
14209322,675,21591809,,,
14209323,1125,21592934,,,
14209324,825,21593759,,,
14209325,1875,21595634,,,
14209326,825,21596459,,,
14209327,1200,21597659,,,
14209328,1125,21598784,,,
14209329,600,21599384,,,
14209330,2775,21602159,,,
14209331,1275,21603434,,,
14209332,750,21604184,,,
14209333,1125,21605309,,,
14209334,1050,21606359,,,
14209335,2550,21608909,,,
14209336,600,21609509,,,
14209337,975,21610484,,,
14209338,1125,21611609,,,
14209339,1425,21613034,,,
14209340,1575,21614609,,,
14209341,975,21615584,,,
14209342,975,21616559,,,
14209343,1350,21617909,,,
14209344,1125,21619034,,,
14209345,1875,21620909,,,
14209346,750,21621659,,,
14209347,1200,21622859,,,
14209348,1125,21623984,,,
14209349,1350,21625334,,,
14209350,1125,21626459,,,
14209351,825,21627284,,,
14209352,1200,21628484,,,
14209353,1050,21629534,,,
14209354,750,21630284,,,
14209355,2100,21632384,,,
14209356,2100,21634484,,,
14209357,1875,21636359,,,
14209358,825,21637184,,,
14209359,975,21638159,,,
14209360,900,21639059,,,
14209361,1050,21640109,,,
14209362,1425,21641534,,,
14209363,900,21642434,,,
14209364,1125,21643559,,,
14209365,900,21644459,,,
14209366,1425,21645884,,,
14209367,1425,21647309,,,
14209368,1050,21648359,,,
14209369,1725,21650084,,,
14209370,900,21650984,,,
14209371,1125,21652109,,,
14209372,2175,21654284,,,
14209373,975,21655259,,,
14209374,1350,21656609,,,
14209375,1125,21657734,,,
14209376,1350,21659084,,,
14209377,1125,21660209,,,
14209378,975,21661184,,,
14209379,1725,21662909,,,
14209380,825,21663734,,,
14209381,750,21664484,,,
14209382,1125,21665609,,,
14209383,600,21666209,,,
14209384,1425,21667634,,,
14209385,1950,21669584,,,
14209386,975,21670559,,,
14209387,1125,21671684,,,
14209388,1050,21672734,,,
14209389,1875,21674609,,,
14209390,900,21675509,,,
14209391,1125,21676634,,,
14209392,1125,21677759,,,
14209393,750,21678509,,,
14209394,1500,21680009,,,
14209395,975,21680984,,,
14209396,1275,21682259,,,
14209397,1125,21683384,,,
14209398,1350,21684734,,,
14209399,1725,21686459,,,
14209400,675,21687134,,,
14209401,1200,21688334,,,
14209402,900,21689234,,,
14209403,675,21689909,,,
14209404,1125,21691034,,,
14209405,825,21691859,,,
14209406,1200,21693059,,,
14209407,825,21693884,,,
14209408,1425,21695309,,,
14209409,1125,21696434,,,
14209410,600,21697034,,,
14209411,1875,21698909,,,
14209412,1050,21699959,,,
14209413,750,21700709,,,
14209414,900,21701609,,,
14209415,1275,21702884,,,
14209416,2100,21704984,,,
14209417,600,21705584,,,
14209418,1200,21706784,,,
14209419,900,21707684,,,
14209420,1425,21709109,,,
14209421,1725,21710834,,,
14209422,825,21711659,,,
14209423,975,21712634,,,
14209424,900,21713534,,,
14209425,1125,21714659,,,
14209426,1350,21716009,,,
14209427,825,21716834,,,
14209428,1650,21718484,,,
14209429,900,21719384,,,
14209430,675,21720059,,,
14209431,1800,21721859,,,
14209432,1275,21723134,,,
14209433,1200,21724334,,,
14209434,825,21725159,,,
14209435,750,21725909,,,
14209436,1500,21727409,,,
14209437,900,21728309,,,
14209438,1650,21729959,,,
14209439,1500,21731459,,,
14209440,1200,21732659,,,
14209441,900,21733559,,,
14209442,1050,21734609,,,
14209443,2325,21736934,,,
14209444,600,21737534,,,
14209445,975,21738509,,,
14209446,900,21739409,,,
14209447,750,21740159,,,
14209448,2925,21743084,,,
14209449,1200,21744284,,,
14209450,2325,21746609,,,
14209451,900,21747509,,,
14209452,900,21748409,,,
14209453,1575,21749984,,,
14209454,675,21750659,,,
14209455,2700,21753359,,,
14209456,900,21754259,,,
14209457,1350,21755609,,,
14209458,1275,21756884,,,
14209459,1125,21758009,,,
14209460,1200,21759209,,,
14209461,1050,21760259,,,
14209462,750,21761009,,,
14209463,1575,21762584,,,
14209464,600,21763184,,,
14209465,1650,21764834,,,
14209466,825,21765659,,,
14209467,750,21766409,,,
14209468,900,21767309,,,
14209469,825,21768134,,,
14209470,2325,21770459,,,
14209471,600,21771059,,,
14209472,975,21772034,,,
14209473,1350,21773384,,,
14209474,750,21774134,,,
14209475,1425,21775559,,,
14209476,900,21776459,,,
14209477,1200,21777659,,,
14209478,1125,21778784,,,
14209479,900,21779684,,,
14209480,1350,21781034,,,
14209481,825,21781859,,,
14209482,1650,21783509,,,
14209483,1350,21784859,,,
14209484,1350,21786209,,,
14209485,1200,21787409,,,
14209486,975,21788384,,,
14209487,1200,21789584,,,
14209488,1050,21790634,,,
14209489,975,21791609,,,
14209490,1350,21792959,,,
14209491,600,21793559,,,
14209492,1650,21795209,,,
14209493,1050,21796259,,,
14209494,750,21797009,,,
14209495,900,21797909,,,
14209496,825,21798734,,,
14209497,2100,21800834,,,
14209498,600,21801434,,,
14209499,1200,21802634,,,
14209500,1125,21803759,,,
14209501,750,21804509,,,
14209502,1500,21806009,,,
14209503,825,21806834,,,
14209504,1200,21808034,,,
14209505,900,21808934,,,
14209506,675,21809609,,,
14209507,2250,21811859,,,
14209508,900,21812759,,,
14209509,1800,21814559,,,
14209510,900,21815459,,,
14209511,900,21816359,,,
14209512,1125,21817484,,,
14209513,825,21818309,,,
14209514,1200,21819509,,,
14209515,1050,21820559,,,
14209516,750,21821309,,,
14209517,1200,21822509,,,
14209518,750,21823259,,,
14209519,1875,21825134,,,
14209520,825,21825959,,,
14209521,975,21826934,,,
14209522,900,21827834,,,
14209523,825,21828659,,,
14209524,1875,21830534,,,
14209525,750,21831284,,,
14209526,1050,21832334,,,
14209527,900,21833234,,,
14209528,1425,21834659,,,
14209529,3000,21837659,,,
14209530,900,21838559,,,
14209531,1875,21840434,,,
14209532,1125,21841559,,,
14209533,900,21842459,,,
14209534,1575,21844034,,,
14209535,675,21844709,,,
14209536,1350,21846059,,,
14209537,900,21846959,,,
14209538,900,21847859,,,
14209539,2475,21850334,,,
14209540,1800,21852134,,,
14209541,1350,21853484,,,
14209542,1275,21854759,,,
14209543,975,21855734,,,
14209544,2025,21857759,,,
14209545,600,21858359,,,
14209546,1425,21859784,,,
14209547,825,21860609,,,
14209548,750,21861359,,,
14209549,1575,21862934,,,
14209550,1050,21863984,,,
14209551,2100,21866084,,,
14209552,900,21866984,,,
14209553,1125,21868109,,,
14209554,1575,21869684,,,
14209555,750,21870434,,,
14209556,1500,21871934,,,
14209557,1125,21873059,,,
14209558,1125,21874184,,,
14209559,900,21875084,,,
14209560,675,21875759,,,
14209561,1800,21877559,,,
14209562,675,21878234,,,
14209563,1800,21880034,,,
14209564,900,21880934,,,
14209565,900,21881834,,,
14209566,1425,21883259,,,
14209567,1125,21884384,,,
14209568,2400,21886784,,,
14209569,825,21887609,,,
14209570,975,21888584,,,
14209571,1125,21889709,,,
14209572,600,21890309,,,
14209573,1875,21892184,,,
14209574,1275,21893459,,,
14209575,975,21894434,,,
14209576,900,21895334,,,
14209577,1050,21896384,,,
14209578,1875,21898259,,,
14209579,600,21898859,,,
14209580,975,21899834,,,
14209581,900,21900734,,,
14209582,750,21901484,,,
14209583,1725,21903209,,,
14209584,825,21904034,,,
14209585,975,21905009,,,
14209586,1125,21906134,,,
14209587,1350,21907484,,,
14209588,1725,21909209,,,
14209589,675,21909884,,,
14209590,2325,21912209,,,
14209591,900,21913109,,,
14209592,675,21913784,,,
14209593,1275,21915059,,,
14209594,1125,21916184,,,
14209595,1200,21917384,,,
14209596,1050,21918434,,,
14209597,975,21919409,,,
14209598,1350,21920759,,,
14209599,600,21921359,,,
14209600,2100,21923459,,,
14209601,825,21924284,,,
14209602,750,21925034,,,
14209603,900,21925934,,,
14209604,1275,21927209,,,
14209605,1875,21929084,,,
14209606,600,21929684,,,
14209607,975,21930659,,,
14209608,1800,21932459,,,
14209609,1200,21933659,,,
14209610,1275,21934934,,,
14209611,825,21935759,,,
14209612,1200,21936959,,,
14209613,900,21937859,,,
14209614,1125,21938984,,,
14209615,1350,21940334,,,
14209616,600,21940934,,,
14209617,1200,21942134,,,
14209618,1125,21943259,,,
14209619,1350,21944609,,,
14209620,1950,21946559,,,
14209621,2475,21949034,,,
14209622,1425,21950459,,,
14209623,1050,21951509,,,
14209624,750,21952259,,,
14209625,1350,21953609,,,
14209626,600,21954209,,,
14209627,2100,21956309,,,
14209628,825,21957134,,,
14209629,975,21958109,,,
14209630,1350,21959459,,,
14209631,825,21960284,,,
14209632,1875,21962159,,,
14209633,900,21963059,,,
14209634,1125,21964184,,,
14209635,1350,21965534,,,
14209636,750,21966284,,,
14209637,1725,21968009,,,
14209638,975,21968984,,,
14209639,1275,21970259,,,
14209640,900,21971159,,,
14209641,675,21971834,,,
14209642,1350,21973184,,,
14209643,600,21973784,,,
14209644,1200,21974984,,,
14209645,900,21975884,,,
14209646,675,21976559,,,
14209647,1125,21977684,,,
14209648,900,21978584,,,
14209649,2025,21980609,,,
14209650,1050,21981659,,,
14209651,750,21982409,,,
14209652,1275,21983684,,,
14209653,900,21984584,,,
14209654,1425,21986009,,,
14209655,1050,21987059,,,
14209656,750,21987809,,,
14209657,1350,21989159,,,
14209658,825,21989984,,,
14209659,1875,21991859,,,
14209660,750,21992609,,,
14209661,1500,21994109,,,
14209662,1125,21995234,,,
14209663,750,21995984,,,
14209664,1425,21997409,,,
14209665,900,21998309,,,
