Thu Jul 11 15:42:32 2013,,,,,
,,,,,
pointer cache: no,,,,,
random replacement sheme for pointer cache,,,,,
method:start_gap,,,,,
pcm size(line):16777216,,,,,
addresses have been narrowed.,,,,,
include extra wear-leveling write,,,,,
frequency: 100,,,,,
cell lifetime: 100000000,,,,,
max depth: 0,,,,,
access count: 217095578,,,,,
total write count: 217095577,,,,,
total write count(without remapping): 217095577,,,,,
percent(without/with remapping): 1.0000,,,,,
wear-out count: 1,,,,,
exceeded write count: 0,,,,,
average access delay: 50 ns,,,,,
normal space : backup space = 16777216 : 0,,,,,
backup space percent:0.00,,,,,
wear-out percent: 0.0000,,,,,
,,,,,
count interval: 1,,,,,
footprint,,,,,
0,2550,2550,,r1.avr=,975.8133641
316,525,3075,,r1.var=,866922.1383
320,525,3600,,r1.sdev=,931.0865364
1408,600,4200,,r1.cov=,0.954164567
2946,750,4950,,r1.stdevp=,930.0132375
3902,975,5925,,,
3906,675,6600,,,
4743,975,7575,,,
4859,825,8400,,,
5691,675,9075,,,
5703,675,9750,,,
6201,525,10275,,,
6213,450,10725,,,
7301,1050,11775,,,
7417,1350,13125,,,
9087,750,13875,,,
10175,675,14550,,,
10179,675,15225,,,
10685,450,15675,,,
10689,675,16350,,,
11645,1725,18075,,,
12473,675,18750,,,
12485,450,19200,,,
13317,825,20025,,,
13433,675,20700,,,
14855,975,21675,,,
14971,825,22500,,,
16059,900,23400,,,
16071,675,24075,,,
16543,975,25050,,,
16611,975,26025,,,
17443,1200,27225,,,
17503,825,28050,,,
18977,675,28725,,,
19037,2925,31650,,,
20125,450,32100,,,
20193,675,32775,,,
21285,750,33525,,,
22425,1200,34725,,,
22501,600,35325,,,
22939,600,35925,,,
23847,1425,37350,,,
24049,1216,38566,,,
25249,750,39316,,,
25309,975,40291,,,
26141,675,40966,,,
26209,675,41641,,,
26655,525,42166,,,
26723,825,42991,,,
27811,1125,44116,,,
27871,900,45016,,,
28955,450,45466,,,
29031,1125,46591,,,
30171,975,47566,,,
31503,1216,48782,,,
31705,1200,49982,,,
32613,450,50432,,,
33188,825,51257,,,
33248,1125,52382,,,
34148,1050,53432,,,
35682,1500,54932,,,
36830,525,55457,,,
37402,900,56357,,,
37478,750,57107,,,
38566,450,57557,,,
38618,600,58157,,,
39080,975,59132,,,
39132,825,59957,,,
39964,900,60857,,,
40040,1125,61982,,,
41886,675,62657,,,
42786,600,63257,,,
42846,450,63707,,,
43300,825,64532,,,
44448,1200,65732,,,
45096,825,66557,,,
45148,825,67382,,,
46236,1200,68582,,,
46312,675,69257,,,
47770,900,70157,,,
47846,600,70757,,,
48678,450,71207,,,
48730,600,71807,,,
49154,600,72407,,,
49278,450,72857,,,
50366,1350,74207,,,
50370,1050,75257,,,
51904,900,76157,,,
51908,1350,77507,,,
52740,675,78182,,,
52864,600,78782,,,
54204,1289,80071,,,
54216,675,80746,,,
55048,900,81646,,,
55164,450,82096,,,
55493,1,82097,,,
55494,18015,100112,,,
55558,975,101087,,,
55674,525,101612,,,
56774,750,102362,,,
57920,675,103037,,,
57924,900,103937,,,
59012,675,104612,,,
59136,600,105212,,,
59522,675,105887,,,
59646,450,106337,,,
60478,1875,108212,,,
60482,1050,109262,,,
61830,975,110237,,,
61946,450,110687,,,
62778,1425,112112,,,
64316,1650,113762,,,
65416,975,114737,,,
66072,1875,116612,,,
66156,750,117362,,,
67244,975,118337,,,
67288,825,119162,,,
67754,675,119837,,,
67798,675,120512,,,
68630,975,121487,,,
68714,1650,123137,,,
70062,1650,124787,,,
70098,975,125762,,,
70930,1575,127337,,,
72468,600,127937,,,
72646,152,128089,,,
73648,675,128764,,,
73770,975,129739,,,
73814,975,130714,,,
74902,825,131539,,,
74986,1650,133189,,,
76440,900,134089,,,
76524,2175,136264,,,
77356,825,137089,,,
77400,975,138064,,,
78832,750,138814,,,
79664,825,139639,,,
79700,2325,141964,,,
80210,825,142789,,,
81390,825,143614,,,
82870,2025,145639,,,
83722,675,146314,,,
83830,600,146914,,,
84236,450,147364,,,
84344,675,148039,,,
85432,900,148939,,,
86032,450,149389,,,
86132,825,150214,,,
87220,1050,151264,,,
87248,750,152014,,,
88754,1650,153664,,,
88782,1350,155014,,,
89614,525,155539,,,
89714,450,155989,,,
90508,525,156514,,,
90616,675,157189,,,
91468,1050,158239,,,
93002,1200,159439,,,
94090,825,160264,,,
94198,450,160714,,,
94770,900,161614,,,
94798,975,162589,,,
95886,825,163414,,,
95986,600,164014,,,
96400,825,164839,,,
96500,675,165514,,,
97332,1500,167014,,,
97360,825,167839,,,
98953,750,168589,,,
99061,900,169489,,,
99893,825,170314,,,
99913,675,170989,,,
100407,675,171664,,,
100427,825,172489,,,
101515,1575,174064,,,
101623,1350,175414,,,
102707,825,176239,,,
102735,675,176914,,,
103923,825,177739,,,
105457,1125,178864,,,
106317,825,179689,,,
106679,825,180514,,,
106699,525,181039,,,
107531,900,181939,,,
107639,1125,183064,,,
109065,1425,184489,,,
109173,1200,185689,,,
110261,675,186364,,,
110281,975,187339,,,
111373,1350,188689,,,
111473,909,189598,,,
112561,825,190423,,,
112589,600,191023,,,
113075,825,191848,,,
113103,975,192823,,,
113935,675,193498,,,
115543,1800,195298,,,
116631,900,196198,,,
116715,1125,197323,,,
117225,825,198148,,,
118101,1575,199723,,,
118278,380,200103,,,
118929,675,200778,,,
119021,525,201303,,,
119853,900,202203,,,
119889,2700,204903,,,
121391,975,205878,,,
121427,2775,208653,,,
122515,600,209253,,,
122607,600,209853,,,
123157,675,210528,,,
123241,600,211128,,,
124329,1200,212328,,,
125867,750,213078,,,
126743,975,214053,,,
127663,825,214878,,,
127699,1125,216003,,,
128531,525,216528,,,
128623,600,217128,,,
129041,825,217953,,,
129133,825,218778,,,
130221,750,219528,,,
130257,1350,220878,,,
131436,975,221853,,,
132354,2874,224727,,,
132568,1200,225927,,,
134102,1350,227277,,,
134934,675,227952,,,
135018,1500,229452,,,
135854,750,230202,,,
135890,2325,232527,,,
136722,825,233352,,,
136814,900,234252,,,
137236,825,235077,,,
137328,975,236052,,,
138416,1350,237402,,,
138452,675,238077,,,
140074,1425,239502,,,
140288,1216,240718,,,
141206,975,241693,,,
141720,1125,242818,,,
141804,975,243793,,,
142636,900,244693,,,
143508,825,245518,,,
143600,900,246418,,,
144432,825,247243,,,
144468,675,247918,,,
145966,975,248893,,,
146002,1650,250543,,,
147090,975,251518,,,
147182,825,252343,,,
147638,675,253018,,,
147658,975,253993,,,
148490,825,254818,,,
148598,975,255793,,,
150028,2775,258568,,,
150136,1125,259693,,,
151224,825,260518,,,
151244,450,260968,,,
152436,1425,262393,,,
153524,975,263368,,,
153552,675,264043,,,
154034,525,264568,,,
154062,675,265243,,,
154994,1875,267118,,,
156300,1125,268243,,,
156408,1200,269443,,,
157240,450,269893,,,
157260,450,270343,,,
157750,600,270943,,,
157770,975,271918,,,
158858,975,272893,,,
158966,1575,274468,,,
160050,450,274918,,,
160078,675,275593,,,
161166,975,276568,,,
161748,1216,277784,,,
162704,600,278384,,,
163636,675,279059,,,
163664,675,279734,,,
164233,825,280559,,,
164341,975,281534,,,
165173,1050,282584,,,
166711,1050,283634,,,
166731,757,284391,,,
167819,675,285066,,,
167927,675,285741,,,
168499,975,286716,,,
168527,1275,287991,,,
169615,675,288666,,,
169715,975,289641,,,
170125,525,290166,,,
170225,825,290991,,,
171057,1213,292204,,,
171085,900,293104,,,
173003,1050,294154,,,
173943,975,295129,,,
174345,825,295954,,,
174453,600,296554,,,
175561,900,297454,,,
176141,600,298054,,,
176241,975,299029,,,
177329,1350,300379,,,
177357,2325,302704,,,
178867,1350,304054,,,
178895,975,305029,,,
179727,825,305854,,,
179827,525,306379,,,
180267,975,307354,,,
180311,975,308329,,,
181399,1200,309529,,,
181483,900,310429,,,
182933,2325,312754,,,
183017,1350,314104,,,
183849,525,314629,,,
183893,600,315229,,,
185233,1125,316354,,,
186157,825,317179,,,
186671,1425,318604,,,
186707,600,319204,,,
187795,900,320104,,,
188949,1650,321754,,,
189033,750,322504,,,
190121,600,323104,,,
190165,450,323554,,,
190635,825,324379,,,
190679,825,325204,,,
191511,1425,326629,,,
191595,600,327229,,,
192979,675,327904,,,
193903,750,328654,,,
195437,900,329554,,,
196525,675,330229,,,
196561,1425,331654,,,
197181,1200,332854,,,
197185,900,333754,,,
198273,450,334204,,,
198397,450,334654,,,
198787,525,335179,,,
198911,975,336154,,,
199743,1650,337804,,,
199747,600,338404,,,
201095,825,339229,,,
201211,825,340054,,,
202055,1350,341404,,,
202521,1216,342620,,,
203589,1200,343820,,,
204677,525,344345,,,
204793,525,344870,,,
204803,825,345695,,,
204927,825,346520,,,
206015,900,347420,,,
206019,1050,348470,,,
207549,825,349295,,,
207553,1275,350570,,,
208385,675,351245,,,
208509,450,351695,,,
209849,750,352445,,,
210693,600,353045,,,
210809,600,353645,,,
211207,450,354095,,,
211323,825,354920,,,
212411,900,355820,,,
213813,608,356428,,,
213987,1425,357853,,,
214879,675,358528,,,
215329,600,359128,,,
215389,1425,360553,,,
216545,1200,361753,,,
217125,675,362428,,,
217177,525,362953,,,
218265,1350,364303,,,
218341,600,364903,,,
219803,750,365653,,,
219879,1650,367303,,,
220711,600,367903,,,
220763,450,368353,,,
221601,975,369328,,,
222493,1350,370678,,,
222770,1292,371970,,,
224031,825,372795,,,
225187,1125,373920,,,
225247,675,374595,,,
225819,750,375345,,,
225895,2325,377670,,,
226983,600,378270,,,
227035,525,378795,,,
227493,600,379395,,,
227545,600,379995,,,
228377,2400,382395,,,
228453,825,383220,,,
230052,900,384120,,,
230112,750,384870,,,
230944,825,385695,,,
231012,675,386370,,,
231454,450,386820,,,
231522,600,387420,,,
232610,1200,388620,,,
232670,750,389370,,,
233754,450,389820,,,
234918,675,390495,,,
236456,825,391320,,,
237340,2250,393570,,,
237416,900,394470,,,
237726,450,394920,,,
237794,600,395520,,,
238626,2175,397695,,,
238686,1875,399570,,,
240164,675,400245,,,
240224,900,401145,,,
241312,975,402120,,,
241380,975,403095,,,
242524,1200,404295,,,
243688,675,404970,,,
244122,600,405570,,,
244198,1275,406845,,,
245082,900,407745,,,
246530,2100,409845,,,
247742,600,410445,,,
248256,525,410970,,,
248260,825,411795,,,
249092,2325,414120,,,
250044,675,414795,,,
250056,975,415770,,,
250888,975,416745,,,
251004,600,417345,,,
252422,1125,418470,,,
252538,1125,419595,,,
253626,450,420045,,,
253638,975,421020,,,
254272,450,421470,,,
254276,450,421920,,,
255488,750,422670,,,
256898,833,423503,,,
257022,1050,424553,,,
257854,450,425003,,,
257858,825,425828,,,
258694,1800,427628,,,
258810,1650,429278,,,
259642,450,429728,,,
259654,825,430553,,,
260156,675,431228,,,
260168,825,432053,,,
261256,1725,433778,,,
261372,757,434535,,,
262671,600,435135,,,
262771,975,436110,,,
263859,1650,437760,,,
263887,1275,439035,,,
264369,825,439860,,,
264397,1275,441135,,,
265229,975,442110,,,
265329,825,442935,,,
266677,900,443835,,,
267529,675,444510,,,
267637,600,445110,,,
269067,1050,446160,,,
269175,675,446835,,,
270263,900,447735,,,
270386,1875,449610,,,
270414,1500,451110,,,
271502,975,452085,,,
271602,600,452685,,,
273040,450,453135,,,
273140,600,453735,,,
273972,900,454635,,,
274000,1425,456060,,,
275340,450,456510,,,
275448,900,457410,,,
276300,975,458385,,,
276810,975,459360,,,
277898,675,460035,,,
278006,600,460635,,,
279470,450,461085,,,
280338,975,462060,,,
280852,825,462885,,,
282032,900,463785,,,
282068,450,464235,,,
282648,1350,465585,,,
282732,1425,467010,,,
283820,450,467460,,,
283864,450,467910,,,
285354,450,468360,,,
285398,450,468810,,,
286230,2100,470910,,,
286314,750,471660,,,
287216,2775,474435,,,
288084,450,474885,,,
289582,450,475335,,,
289618,1050,476385,,,
290798,900,477285,,,
291370,450,477735,,,
291414,600,478335,,,
292502,750,479085,,,
292586,1275,480360,,,
293016,900,481260,,,
293100,825,482085,,,
293932,600,482685,,,
293976,525,483210,,,
295569,525,483735,,,
295661,450,484185,,,
296493,600,484785,,,
296529,975,485760,,,
297007,1425,487185,,,
297043,1725,488910,,,
298131,975,489885,,,
298223,675,490560,,,
299351,1875,492435,,,
300523,450,492885,,,
301973,525,493410,,,
302057,1350,494760,,,
302613,1139,495899,,,
302933,1500,497399,,,
303279,750,498149,,,
303315,1125,499274,,,
304147,600,499874,,,
304239,525,500399,,,
305681,450,500849,,,
305773,525,501374,,,
306861,1050,502424,,,
306897,1875,504299,,,
307989,975,505274,,,
309161,825,506099,,,
309675,675,506774,,,
310551,1050,507824,,,
310635,450,508274,,,
312115,675,508949,,,
312143,600,509549,,,
313331,1875,511424,,,
313841,975,512399,,,
314673,525,512924,,,
314701,675,513599,,,
315529,975,514574,,,
315637,1425,515999,,,
316469,675,516674,,,
316489,600,517274,,,
318007,450,517724,,,
318027,675,518399,,,
319115,900,519299,,,
319223,1350,520649,,,
319757,675,521324,,,
320945,675,521999,,,
320973,450,522449,,,
322483,675,523124,,,
322511,525,523649,,,
323343,900,524549,,,
324279,525,525074,,,
324299,525,525599,,,
325131,1200,526799,,,
325239,900,527699,,,
325641,675,528374,,,
325749,825,529199,,,
326837,600,529799,,,
326857,600,530399,,,
327973,825,531224,,,
329113,825,532049,,,
330651,2925,534974,,,
330727,975,535949,,,
331559,1425,537374,,,
332447,450,537824,,,
332515,600,538424,,,
333347,1350,539774,,,
333407,1350,541124,,,
333857,675,541799,,,
333917,1200,542999,,,
335005,600,543599,,,
335073,675,544274,,,
336743,675,544949,,,
337883,600,545549,,,
338393,1800,547349,,,
339225,975,548324,,,
339301,1200,549524,,,
340129,1200,550724,,,
340189,1125,551849,,,
341021,450,552299,,,
341089,450,552749,,,
342559,450,553199,,,
342627,825,554024,,,
343715,1350,555374,,,
343775,975,556349,,,
344199,1350,557699,,,
344315,900,558599,,,
345147,450,559049,,,
345159,675,559724,,,
346681,675,560399,,,
346693,900,561299,,,
347781,825,562124,,,
347897,1500,563624,,,
348989,825,564449,,,
348993,525,564974,,,
350081,1575,566549,,,
350595,1125,567674,,,
351551,675,568349,,,
351555,600,568949,,,
352953,675,569624,,,
352965,675,570299,,,
353797,1875,572174,,,
353913,1125,573299,,,
354311,1350,574649,,,
354427,975,575624,,,
355515,600,576224,,,
355527,450,576674,,,
356735,900,577574,,,
357823,675,578249,,,
357827,600,578849,,,
359357,675,579524,,,
359361,2025,581549,,,
360317,1125,582674,,,
360904,1125,583799,,,
361736,825,584624,,,
361852,525,585149,,,
363270,525,585674,,,
363386,825,586499,,,
364486,1050,587549,,,
365058,675,588224,,,
365182,675,588899,,,
366270,1650,590549,,,
366274,600,591149,,,
366784,1725,592874,,,
366788,825,593699,,,
367620,825,594524,,,
367744,450,594974,,,
369542,825,595799,,,
369658,600,596399,,,
370490,1050,597449,,,
371004,900,598349,,,
372104,750,599099,,,
372220,600,599699,,,
372800,1125,600824,,,
372804,1425,602249,,,
373892,675,602924,,,
374016,600,603524,,,
375426,900,604424,,,
375550,675,605099,,,
376382,1125,606224,,,
376386,1650,607874,,,
376858,2325,610199,,,
376934,1425,611624,,,
378022,825,612449,,,
378074,975,613424,,,
379560,600,614024,,,
379612,450,614474,,,
380444,2025,616499,,,
380520,975,617474,,,
381920,600,618074,,,
382820,1200,619274,,,
383330,1725,620999,,,
384418,825,621824,,,
384478,2550,624374,,,
385576,525,624899,,,
385628,600,625499,,,
386716,1575,627074,,,
386792,975,628049,,,
387226,900,628949,,,
387302,1050,629999,,,
388134,825,630824,,,
388186,900,631724,,,
389534,900,632624,,,
390434,975,633599,,,
391972,825,634424,,,
392032,450,634874,,,
392928,2128,637002,,,
393120,750,637752,,,
393765,900,638652,,,
393817,675,639327,,,
394905,1800,641127,,,
394981,825,641952,,,
395419,1050,643002,,,
395495,1350,644352,,,
396327,675,645027,,,
396379,975,646002,,,
397795,1125,647127,,,
398627,600,647727,,,
398687,825,648552,,,
400221,675,649227,,,
401377,600,649827,,,
401435,900,650727,,,
401511,2325,653052,,,
402599,825,653877,,,
402651,600,654477,,,
404133,975,655452,,,
404185,975,656427,,,
405017,900,657327,,,
405093,1125,658452,,,
406433,1050,659502,,,
406493,450,659952,,,
407325,1350,661302,,,
407839,825,662127,,,
408995,675,662802,,,
410503,525,663327,,,
410619,1200,664527,,,
411463,1650,666177,,,
411973,900,667077,,,
413061,825,667902,,,
413177,525,668427,,,
413757,1125,669552,,,
413761,1650,671202,,,
414849,675,671877,,,
414973,975,672852,,,
416387,450,673302,,,
416511,825,674127,,,
417343,1500,675627,,,
417347,900,676527,,,
418233,1125,677652,,,
419077,675,678327,,,
419193,975,679302,,,
420615,450,679752,,,
420731,675,680427,,,
421819,975,681402,,,
422403,600,682002,,,
422527,450,682452,,,
423615,825,683277,,,
423619,2025,685302,,,
424125,1350,686652,,,
424129,2250,688902,,,
424961,675,689577,,,
425085,600,690177,,,
426684,450,690627,,,
426696,675,691302,,,
427528,900,692202,,,
427644,1650,693852,,,
428038,1050,694902,,,
428154,1200,696102,,,
429242,450,696552,,,
429254,675,697227,,,
430338,1350,698577,,,
431550,1125,699702,,,
431554,825,700527,,,
433088,525,701052,,,
433092,900,701952,,,
433924,1125,703077,,,
434310,675,703752,,,
434426,600,704352,,,
435258,525,704877,,,
435270,675,705552,,,
436796,525,706077,,,
436808,675,706752,,,
437896,1275,708027,,,
438012,600,708627,,,
439104,675,709302,,,
439108,1125,710427,,,
440320,1575,712002,,,
440830,1200,713202,,,
441662,525,713727,,,
441666,975,714702,,,
443162,1200,715902,,,
443238,900,716802,,,
444326,1650,718452,,,
444840,750,719202,,,
445724,525,719727,,,
446628,1575,721302,,,
446688,675,721977,,,
447520,450,722427,,,
447588,450,722877,,,
449054,975,723852,,,
449122,975,724827,,,
450210,1425,726252,,,
450270,1650,727902,,,
450908,1200,729102,,,
451996,675,729777,,,
452072,900,730677,,,
453606,975,731652,,,
454490,2325,733977,,,
455326,675,734652,,,
455394,900,735552,,,
456226,1575,737127,,,
456286,900,738027,,,
456740,1350,739377,,,
456800,1575,740952,,,
457888,450,741402,,,
457956,600,742002,,,
459124,1125,743127,,,
460212,675,743802,,,
460240,600,744402,,,
461746,675,745077,,,
461774,825,745902,,,
462706,825,746727,,,
463542,600,747327,,,
463562,600,747927,,,
464394,750,748677,,,
464502,600,749277,,,
464908,1425,750702,,,
465016,975,751677,,,
466104,975,752652,,,
466124,600,753252,,,
467762,1350,754602,,,
467790,975,755577,,,
468878,900,756477,,,
469392,975,757452,,,
470324,675,758127,,,
470352,600,758727,,,
471180,1575,760302,,,
471288,1125,761427,,,
472120,825,762252,,,
472140,675,762927,,,
473654,600,763527,,,
473674,825,764352,,,
474762,1425,765777,,,
474870,750,766527,,,
475310,750,767277,,,
475346,975,768252,,,
476178,525,768777,,,
476270,525,769302,,,
477716,600,769902,,,
477808,600,770502,,,
478896,1575,772077,,,
478932,675,772752,,,
480024,600,773352,,,
480108,675,774027,,,
481240,2100,776127,,,
481750,675,776802,,,
482666,450,777252,,,
483988,450,777702,,,
484080,525,778227,,,
484912,1425,779652,,,
484948,750,780402,,,
485422,750,781152,,,
485458,1125,782277,,,
486546,450,782727,,,
486638,450,783177,,,
487722,1125,784302,,,
488854,975,785277,,,
488938,600,785877,,,
490392,450,786327,,,
491308,900,787227,,,
491921,1050,788277,,,
492845,1050,789327,,,
492881,525,789852,,,
494383,675,790527,,,
495507,1650,792177,,,
496171,450,792627,,,
496215,450,793077,,,
497303,1200,794277,,,
497387,1050,795327,,,
497813,1425,796752,,,
497897,975,797727,,,
498729,675,798402,,,
498773,825,799227,,,
500655,450,799677,,,
500691,1125,800802,,,
501294,1,800803,,,
501295,911,801714,,,
501615,975,802689,,,
502125,825,803514,,,
503249,450,803964,,,
503829,1425,805389,,,
503913,975,806364,,,
505001,825,807189,,,
505045,825,808014,,,
506539,525,808539,,,
506583,450,808989,,,
507415,900,809889,,,
507499,975,810864,,,
507955,1275,812139,,,
507983,1350,813489,,,
509071,600,814089,,,
509171,600,814689,,,
510605,525,815214,,,
510705,525,815739,,,
511537,750,816489,,,
511565,975,817464,,,
512905,825,818289,,,
513013,525,818814,,,
513845,900,819714,,,
514359,975,820689,,,
515467,675,821364,,,
515575,600,821964,,,
516621,600,822564,,,
516721,675,823239,,,
517809,1050,824289,,,
517837,825,825114,,,
518323,2550,827664,,,
518351,1125,828789,,,
519183,525,829314,,,
519283,525,829839,,,
520651,975,830814,,,
521483,450,831264,,,
521591,675,831939,,,
523017,600,832539,,,
523125,600,833139,,,
524233,600,833739,,,
524350,450,834189,,,
524354,675,834864,,,
525442,1350,836214,,,
526976,825,837039,,,
527932,825,837864,,,
527936,450,838314,,,
529284,2175,840489,,,
529400,1050,841539,,,
530232,450,841989,,,
530244,675,842664,,,
530746,450,843114,,,
530758,600,843714,,,
531846,1725,845439,,,
531962,1575,847014,,,
533116,1125,848139,,,
534204,600,848739,,,
534208,675,849414,,,
534718,525,849939,,,
534722,750,850689,,,
535678,1125,851814,,,
537019,450,852264,,,
537031,675,852939,,,
537863,825,853764,,,
537979,1425,855189,,,
539397,825,856014,,,
539513,675,856689,,,
540601,600,857289,,,
540613,450,857739,,,
541085,675,858414,,,
541153,525,858939,,,
541985,2175,861114,,,
542045,1275,862389,,,
543523,1425,863814,,,
543583,1500,865314,,,
544671,675,865989,,,
544739,900,866889,,,
545319,1200,868089,,,
546459,600,868689,,,
546969,900,869589,,,
547045,525,870114,,,
547877,1200,871314,,,
549795,825,872139,,,
549855,1050,873189,,,
550687,825,874014,,,
550755,675,874689,,,
551197,525,875214,,,
551265,600,875814,,,
552353,1350,877164,,,
552413,600,877764,,,
553061,825,878589,,,
554201,750,879339,,,
555739,675,880014,,,
556571,450,880464,,,
556647,1275,881739,,,
557278,600,882339,,,
558178,1875,884214,,,
559716,750,884964,,,
560804,600,885564,,,
560864,600,886164,,,
561948,1200,887364,,,
562024,1650,889014,,,
563112,450,889464,,,
563164,600,890064,,,
563622,675,890739,,,
563674,600,891339,,,
564506,1350,892689,,,
564582,975,893664,,,
565920,1350,895014,,,
566820,600,895614,,,
567330,975,896589,,,
567390,600,897189,,,
568478,750,897939,,,
569638,450,898389,,,
569690,600,898989,,,
570778,1350,900339,,,
570854,675,901014,,,
572316,900,901914,,,
572392,1125,903039,,,
573224,450,903489,,,
573276,450,903939,,,
573700,675,904614,,,
573824,525,905139,,,
574912,1125,906264,,,
574916,1875,908139,,,
576446,900,909039,,,
576450,750,909789,,,
577282,675,910464,,,
577406,975,911439,,,
578246,900,912339,,,
579078,600,912939,,,
579194,675,913614,,,
579592,975,914589,,,
579708,600,915189,,,
580808,1125,916314,,,
582462,900,917214,,,
582466,1650,918864,,,
583554,450,919314,,,
583678,900,920214,,,
584068,450,920664,,,
584192,600,921264,,,
585024,1350,922614,,,
585028,825,923439,,,
585864,825,924264,,,
585980,525,924789,,,
586812,675,925464,,,
588346,750,926214,,,
589446,450,926664,,,
589562,675,927339,,,
590614,2325,929664,,,
590698,1875,931539,,,
591786,825,932364,,,
591830,675,933039,,,
592300,600,933639,,,
592344,525,934164,,,
593176,600,934764,,,
593260,2700,937464,,,
594096,450,937914,,,
594964,1800,939714,,,
596498,1275,940989,,,
597678,1125,942114,,,
597714,675,942789,,,
598316,450,943239,,,
598360,450,943689,,,
599448,1650,945339,,,
599532,2100,947439,,,
600982,750,948189,,,
601066,1350,949539,,,
601898,825,950364,,,
601942,825,951189,,,
602862,825,952014,,,
603730,975,952989,,,
604208,600,953589,,,
604244,600,954189,,,
605424,1425,955614,,,
606904,1425,957039,,,
607756,600,957639,,,
607864,825,958464,,,
608266,675,959139,,,
608374,525,959664,,,
609462,900,960564,,,
610574,675,961239,,,
610674,675,961914,,,
611762,1125,963039,,,
611790,1350,964389,,,
613300,975,965364,,,
613328,750,966114,,,
614160,675,966789,,,
614260,825,967614,,,
614538,525,968139,,,
614646,975,969114,,,
615498,1050,970164,,,
617036,1125,971289,,,
618124,525,971814,,,
618232,975,972789,,,
619316,2025,974814,,,
619344,1050,975864,,,
620432,675,976539,,,
620532,675,977214,,,
620942,525,977739,,,
621042,975,978714,,,
621874,2700,981414,,,
621902,1125,982539,,,
623499,1950,984489,,,
623607,1125,985614,,,
624439,525,986139,,,
624459,525,986664,,,
624949,825,987489,,,
624969,825,988314,,,
626057,1350,989664,,,
626165,1050,990714,,,
626737,675,991389,,,
626765,675,992064,,,
627953,2100,994164,,,
629491,1575,995739,,,
630323,450,996189,,,
630351,675,996864,,,
631221,600,997464,,,
631241,825,998289,,,
632073,825,999114,,,
632181,1275,1000389,,,
633611,2100,1002489,,,
633719,900,1003389,,,
634807,600,1003989,,,
634827,600,1004589,,,
635407,1500,1006089,,,
636595,600,1006689,,,
636623,600,1007289,,,
